ra,dec,phot_g_mean_mag
36.61678497639678,68.75973828746167,11.428884
35.98814573403289,68.58905296249972,11.392631
35.97128147414229,68.63387223238277,11.104843
35.918713500735855,68.65286214091408,11.865556
36.10833645709139,68.7991091368087,11.299611
35.92969686812932,68.79727622193342,11.181123
36.612665952305015,68.83512133959688,9.181489
35.066295104808496,68.34914758267566,9.345722
35.14779485185054,68.50376586810502,11.900876
35.123561582005635,68.56663991781852,10.667634
34.81617693165311,68.51068308552777,10.991592
34.83675525039582,68.59118841635805,10.848578
35.44318727363175,68.5418349755738,8.841898
35.411496997897366,68.61061049756806,11.932777
35.41723699159377,68.60973772187707,11.257002
35.45425255134463,68.72351224959732,11.426624
35.136441122719496,68.66004585358958,11.733193
34.99713566146001,68.71633566307008,9.294637
34.63086518385653,68.68322097932185,11.445474
34.31764763135698,68.71125020252032,10.519087
34.961954722451274,68.85871933040549,10.100411
34.917579629887584,68.87017290467112,11.718801
35.02956357959738,68.89887107533356,11.529938
35.72139488578131,68.7618816892727,6.952911
35.36167320780122,68.87137479206942,11.895753
35.58963175566037,68.95429313271903,9.814801
35.72828136077085,69.05509722909997,9.556597
36.00550324566893,69.163004593069,10.782782
35.25677518168421,68.99334205618082,11.118246
34.914859428471914,69.04908588480802,10.740906
35.34329053178846,69.15849179353225,10.927621
35.387759935294696,69.19354588542197,11.030952
35.72948656884661,69.21799131972146,11.978422
35.559480743336266,69.24249661403779,11.636263
35.62839803882139,69.2426187812025,8.267361
35.289453466139115,69.21918034632506,11.538311
35.21405270778342,69.24953921990537,11.613002
37.26436293953266,68.8858903264153,11.188793
37.55805560626029,68.88188395253255,11.035659
37.69175740234196,68.96957686011002,11.648875
37.55691305120829,69.10635808249505,10.697495
36.97716198065419,69.09016200658188,9.99284
36.40300717379673,69.05463882029888,11.089716
36.446221991789784,69.09330732483954,11.095036
38.00045728541778,69.12737313603924,9.808643
38.09239748988154,69.25034030260383,11.934853
38.36494606955919,69.31628437851003,11.663715
38.42517412640831,69.36475673196495,11.362898
38.45659831807906,69.43755319269039,11.767903
37.93849311063802,69.39205577461212,10.723225
37.87592523233044,69.47459284746486,11.010974
37.46902138023891,69.28178224724053,10.958844
37.65104213165193,69.38405031025076,11.737909
37.69312493809349,69.4415313182145,11.751803
37.178253001127295,69.34424473391978,10.3818865
37.30032927170432,69.48049183896524,10.977853
37.360951403971114,69.50114754619663,10.399738
37.19662925622818,69.49236337148982,11.663019
37.82827283146332,69.53500616507164,10.335484
37.87997719923848,69.63962169158881,8.558385
36.00972687881775,69.23072108126034,10.474222
36.84382754087452,69.37291792946434,11.104487
36.78178490521624,69.39574484286969,10.91314
36.75938361302392,69.46542531097444,11.480835
35.627975709635685,69.35887342816653,10.6256695
35.82209682008394,69.54131894605896,11.187342
35.571416200870814,69.50296285680676,9.515854
36.40743450781018,69.6055308884723,11.534051
36.24556209021464,69.65264268600352,11.900679
35.87879159817745,69.61164181266744,11.841103
36.211670005485,69.70579361104112,10.485529
36.90696875054608,69.46962460499454,9.748565
37.017622351501316,69.5465309419459,10.924216
37.06962961629294,69.6949625445911,11.166627
36.78510341798706,69.71025805808846,8.022661
37.24336523251989,69.70476933983552,10.823572
37.10350409765312,69.69467520370668,11.3708105
37.410855760381644,69.74566487375597,11.427107
37.05914153177677,70.00784304656781,11.4714
36.69699669882855,69.980378310637,11.294136
36.7796438215995,70.02874741851612,11.937125
36.70519687139262,70.11048945496314,11.3263235
33.945230558941944,68.81724729972211,11.54746
33.77196636272775,68.93111426042398,10.270993
34.09276069578827,68.9416574766519,11.823886
33.99985184762777,68.99047949493504,11.707934
34.03264234245548,69.0161932797531,11.428641
33.94155213071215,69.00120555870936,11.592589
33.90479282215078,69.02302551816476,10.334257
34.1761993961856,69.13383906005528,11.75662
33.75185428184528,68.96327123263033,11.462466
33.3328205583217,69.11374207821382,11.267515
33.66684632965346,69.15030972917204,8.976199
33.31887397178073,69.1473272534475,11.508863
34.06878086430191,69.22125397956839,10.033887
33.680842776748136,69.22675623138512,11.683384
33.79631517340544,69.26461099603644,10.298599
33.68152266748044,69.35130999844849,11.841955
34.90189980697634,69.28566016129083,11.967956
34.7057385820531,69.28030051821861,11.816679
34.77471404721511,69.33119643997314,10.7282915
35.27984369230487,69.40005741256584,10.932512
35.09356876459788,69.40350780949596,10.854342
35.14869405574021,69.4303265738723,11.814466
34.85862894330182,69.50058832837712,10.356204
34.32268128513074,69.46558410574671,11.741693
34.0373152054361,69.38003714397817,11.186812
33.87887574495717,69.46942685616483,11.470606
